conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.86E+18,Thu Nov 14 10:28:27 +0000 2024,0,Presiden Prabowo Subianto tiba di Pangkalan Militer Angkatan Udara Grupo 8 Alar Bandara Internasional Jorge Chavez Lima Peru Rabu (13/11/2024) sekitar pukul 22.35 waktu setempat. https://t.co/igrMRnwuFJ https://t.co/f6uEiWGs91,1.86E+18,https://pbs.twimg.com/media/GcVqpXPXUAA9uAW.jpg,,in,Indonesia,0,0,0,https://x.com/monitordaycom/status/1857007683590631732,70600007,monitordaycom
1.86E+18,Thu Nov 14 10:28:20 +0000 2024,0,@sedaryut73015 @DokterTifa @prabowo Saya rasa berlebihan jika menyerang individu dg kata atau candaan yg keterlaluan,1.86E+18,,sedaryut73015,in,"Pematang Siantar, Indonesia",0,0,0,https://x.com/ZietZt12/status/1857007650979910134,9.08E+08,ZietZt12
1.86E+18,Thu Nov 14 10:28:19 +0000 2024,0,DPR Minta Tiga Lembaga Penegak Hukum Jalankan Instruksi Presiden https://t.co/jSwntGKNeL,1.86E+18,,,in,Indonesia,0,0,0,https://x.com/rmol_id/status/1857007646437445704,9.90E+08,rmol_id
1.86E+18,Thu Nov 14 10:28:15 +0000 2024,0,@jmelive @BANGSAygSUJUD @prabowo @99propaganda @adri_zizie @AlmaghribiS @EricRicaldo @are_inismyname @florieliciouss @Ndons_Back @tonybulumanu @Lembayung071 @Kimberley_PS08 Dunia antah berantah https://t.co/a8J8qJwTTc,1.86E+18,https://pbs.twimg.com/media/GcVqmYFXAAA6iph.jpg,jmelive,in,jakarta barat,0,0,0,https://x.com/AzamFiqri1/status/1857007632453673282,1.60E+18,AzamFiqri1
1.86E+18,Thu Nov 14 10:27:50 +0000 2024,0,@alvinlie21 baru kali ini ada wakil presiden sibuk kampanye setelah di lantik.,1.86E+18,,alvinlie21,in,Depan 3 Monitor,0,0,0,https://x.com/mbangunCom/status/1857007526551621908,2.89E+09,mbangunCom
1.86E+18,Thu Nov 14 10:27:45 +0000 2024,0,perut ku sakit bgt by butuh perbaikan gizi mau honu sama boost by @prabowo,1.86E+18,,,in,,0,0,0,https://x.com/sguggn/status/1857007506033119547,1.59E+18,sguggn
1.86E+18,Thu Nov 14 10:27:44 +0000 2024,0,Presiden Prabowo berkomitmen penuh untuk memberantas narkoba hingga ke akarnya #IndonesiaEmas #PrabowoSubianto #PresidenPrabowo #BerantasNarkoba #IndonesiaMaju https://t.co/4xzkxIWzR7,1.86E+18,https://pbs.twimg.com/media/GcVqbzGWUAEYoDE.jpg,,in,,0,0,0,https://x.com/AtayaPranaya2/status/1857007499921985822,1.36E+18,AtayaPranaya2
1.86E+18,Thu Nov 14 10:27:42 +0000 2024,0,Mungkin maksudnya Lewat komunikasi keluarga diminta membantu mencarikan pekerjaan lewat jalur orang dalam. Kayak Wakil Presiden contohnya?,1.86E+18,,,in,Under your bed,0,0,0,https://x.com/Potelot_mabur/status/1857007493517390328,1.13E+18,Potelot_mabur
1.86E+18,Thu Nov 14 10:27:31 +0000 2024,0,Aku juga mau by @prabowo tapi tambah nasi padang ya lauknya aja gapapa kok hehe trims,1.86E+18,,,in,she/her,0,0,0,https://x.com/popmatchacorn/status/1857007447254127104,1.55E+18,popmatchacorn
1.86E+18,Thu Nov 14 10:27:29 +0000 2024,0,@CNNIndonesia Pantes utang sampi 6000 triliun gegara presiden suka utang agar terlihat sukses membangun negeri ini.,1.86E+18,,CNNIndonesia,in,,0,0,0,https://x.com/Saptariadi29392/status/1857007438731399293,1.77E+18,Saptariadi29392
